what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1459093964770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1459093964921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459093964948
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1459093965079
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1459093984584
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1459093985496
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459093985531
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459093985661
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459093985680
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459093993472
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459093993527
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459093993527
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1459093993554
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1459093998827
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094003775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094005718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094015549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094017821
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094027704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094034962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094039186
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094051460
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094051501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094051606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1459094055180
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1459094060637
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1459094060896
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1459094060913
